service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10-TR1,0,0,0,0,1,0,0,20171001,20171130
1-TR1,1,1,1,1,0,0,0,20171001,20171130
2-TR1,0,0,0,0,0,0,0,20171001,20171130
3-TR1,0,0,0,0,0,0,0,20171001,20171130
4-TR1,0,0,0,0,0,0,1,20171001,20171130
5-TR1,0,0,0,0,0,0,0,20171001,20171130
6-TR1,0,0,0,0,0,1,0,20171001,20171130
7-TR1,1,1,1,1,1,0,0,20171001,20171130
8-TR1,0,0,1,0,0,0,0,20171001,20171130
9-TR1,1,1,0,1,1,0,0,20171001,20171130
