Date;Time;Vehicule_No;Vehicule_Etat;Ligne_No;Ligne_Destination;Course_No;Arret_StopID;Arret_Mnemol;Arret_Nom;Horaire;Vehicule_Latitude;Vehicule_Longitude;Vehicule_Cap;Indicateur_Avance;Indicateur_Retard
10/11/2017 00:00:00;17:29:55;2020;LIGN;1;ODYSSEUM;268436183;41129;BLANCATW;LOUIS BLANC;17:31:12;1847184;724313;189;00:00:48;00:00:00
10/11/2017 00:00:00;17:29:55;2019;LIGN;1;ODYSSEUM;268436112;41131;CORUMATW;CORUM T1;17:29:29;1847045;724929;81;00:00:25;00:00:00
10/11/2017 00:00:00;17:29:55;2031;LIGN;4;GARCIA LORCA;268437743;41131;CORUMATW;CORUM T1;17:29:30;1847029;724871;75;00:00:00;00:02:00
10/11/2017 00:00:00;17:29:55;2062;LIGN;2;SABINES;268436771;41133;COMEDATW;COMEDIE;17:31:42;1847038;724983;167;00:00:00;00:01:26
10/11/2017 00:00:00;17:29:55;2022;LIGN;1;ODYSSEUM;268436049;41135;GARETW;GARE ST-ROCH T1;17:30:18;1846175;724766;165;00:00:41;00:00:00
10/11/2017 00:00:00;17:29:55;2014;LIGN;1;ODYSSEUM;268436014;41139;ANTIGATW;ANTIGONE;17:31:34;1846306;725057;35;00:00:00;00:04:23
10/11/2017 00:00:00;17:29:55;2090;LIGN;1;ODYSSEUM;268435983;41143;EUROPATW;PL. DE L'EUROPE;17:30:19;1846438;725884;95;00:00:00;00:03:23
10/11/2017 00:00:00;17:29:55;2043;LIGN;4;GARCIA LORCA;268437587;41143;EUROPATW;PL. DE L'EUROPE;17:29:40;1846330;725902;180;00:00:00;00:03:47
10/11/2017 00:00:00;17:29:55;2044;LIGN;4;GARCIA LORCA;268437832;41145;RILEZATW;RIVES DU LEZ T1;17:30:33;1846143;725923;159;00:00:00;00:10:47
10/11/2017 00:00:00;17:29:55;2002;LIGN;1;ODYSSEUM;268435952;41147;MOULAATW;MOULARES;17:30:28;1845713;725978;145;00:00:00;00:03:24
10/11/2017 00:00:00;17:29:55;2085;LIGN;3;LATTES CENTRE;268437487;41147;MOULAATW;MOULARES;17:29:46;1845561;726029;154;00:00:00;00:07:27
10/11/2017 00:00:00;17:29:55;2082;LIGN;3;PEROLS ETANG;268437513;41149;PMARIATW;PORT MARIANNE;17:29:36;1845662;726372;69;00:00:00;00:00:36
10/11/2017 00:00:00;17:29:55;2003;TARR;1;ODYSSEUM;268435897;41155;ODYSSSTW;ODYSSEUM;17:29:44;1845979;728064;155;00:00:00;00:00:00
10/11/2017 00:00:00;17:29:55;2013;TARR;1;HORS SERVICE;268435854;41201;ODYSSETW;ODYSSEUM;17:29:46;1845980;728067;89;00:00:00;00:00:00
10/11/2017 00:00:00;17:29:55;2026;LIGN;1;MOSSON;268435820;41203;MILLERTW;MILLENAIRE;17:29:43;1845827;727217;253;00:01:01;00:00:00
10/11/2017 00:00:00;17:29:55;2098;LIGN;1;MOSSON;268435755;41207;PMARIRTW;PORT MARIANNE;17:30:35;1845756;726566;257;00:00:00;00:00:37
10/11/2017 00:00:00;17:29:55;2087;LIGN;3;MOSSON;268437439;41207;PMARIRTW;PORT MARIANNE;17:30:20;1845681;726376;243;00:00:00;00:00:59
10/11/2017 00:00:00;17:29:55;2005;LIGN;1;MOSSON;268436441;41211;RILEZRTW;RIVES DU LEZ T1;17:29:43;1845926;725988;315;00:00:16;00:00:00
10/11/2017 00:00:00;17:29:55;2030;LIGN;1;MOSSON;268435724;41213;EUROPRTW;PL. DE L'EUROPE;17:29:41;1846289;725898;357;00:00:00;00:02:42
10/11/2017 00:00:00;17:29:55;2092;LIGN;1;MOSSON;268435789;41221;GARERTW;GARE ST-ROCH T1;17:30:11;1846078;724878;226;00:00:38;00:00:00
10/11/2017 00:00:00;17:29:55;2095;LIGN;2;SABLASSOU;268436538;41221;GARERTW;GARE ST-ROCH T1;17:31:00;1845839;724676;40;00:00:00;00:00:00
10/11/2017 00:00:00;17:29:55;2028;LIGN;1;MOSSON;268435647;41223;COMEDRTW;COMEDIE;17:30:29;1846268;724743;344;00:00:00;00:01:30
10/11/2017 00:00:00;17:29:55;2041;LIGN;4;GARCIA LORCA;268437769;41225;CORUMRTW;CORUM T1;17:29:11;1847049;724921;265;00:00:00;00:02:46
10/11/2017 00:00:00;17:29:55;2025;LIGN;1;MOSSON;268435693;41227;BLANCRTW;LOUIS BLANC;17:30:51;1847034;724794;343;00:00:08;00:00:00
